Episode,Min_AoI,p_d,PRR
734,109.3251,0.6411,0.0239
735,113.6820,0.5552,0.0282
736,110.2104,0.5999,0.0169
737,114.7554,0.7096,0.0134
738,114.4836,0.7110,0.0136
739,113.4725,0.6794,0.0150
740,109.5819,0.6113,0.0149
741,116.2822,0.7284,0.0131
742,105.7146,0.7111,0.0177
743,117.1133,0.6049,0.0218
744,112.6983,0.7078,0.0213
745,111.9628,0.5969,0.0170
746,112.0201,0.6866,0.0146
747,114.0284,0.6926,0.0167
748,113.3414,0.5247,0.0247
749,114.8713,0.7229,0.0198
750,109.1502,0.5613,0.0220
751,111.1960,0.6879,0.0170
752,112.4228,0.6934,0.0195
753,110.2687,0.6941,0.0136
754,110.5757,0.7171,0.0126
755,110.1452,0.7243,0.0216
756,109.6974,0.6306,0.0159
757,106.4588,0.6602,0.0296
758,111.9681,0.7280,0.0131
759,107.7194,0.5619,0.0320
760,113.7793,0.6834,0.0146
761,117.3531,0.7167,0.0228
762,108.4959,0.6959,0.0201
763,111.0407,0.6345,0.0162
764,116.4879,0.7181,0.0189
765,110.0963,0.7267,0.0231
766,109.1621,0.7201,0.0190
767,116.5492,0.6989,0.0278
768,105.8174,0.6469,0.0288
769,112.2880,0.7205,0.0129
770,107.7634,0.7083,0.0284
771,107.6041,0.6184,0.0158
772,116.2404,0.7287,0.0171
773,112.8848,0.6914,0.0137
774,107.2640,0.7004,0.0260
775,113.6216,0.7244,0.0259
776,106.5144,0.5485,0.0478
777,111.0459,0.5107,0.0409
778,109.8765,0.6998,0.0206
779,110.2070,0.7078,0.0144
780,115.1731,0.7027,0.0171
781,110.8940,0.6128,0.0186
782,109.8367,0.6348,0.0185
783,106.6789,0.6170,0.0315
784,114.0156,0.6072,0.0370
785,109.0885,0.6226,0.0169
786,111.0784,0.7233,0.0177
787,113.1509,0.6479,0.0145
788,111.1097,0.7225,0.0159
789,112.0693,0.7021,0.0137
790,111.5906,0.7033,0.0198
791,113.1462,0.6787,0.0261
792,115.6525,0.7106,0.0197
793,112.6869,0.7229,0.0188
794,115.7033,0.7003,0.0264
795,112.6963,0.7232,0.0200
796,112.0955,0.5335,0.0260
797,114.7604,0.6469,0.0174
798,113.0371,0.6963,0.0220
799,112.7183,0.7258,0.0141
800,115.7076,0.6299,0.0187
801,110.5774,0.5850,0.0187
802,114.8652,0.5329,0.0402
803,115.8163,0.7093,0.0163
804,104.3577,0.7287,0.0191
805,118.2143,0.6111,0.0186
806,112.6991,0.5420,0.0161
807,113.5483,0.5443,0.0189
808,114.2449,0.7278,0.0224
809,106.6016,0.6100,0.0190
810,116.2825,0.7282,0.0139
811,116.9289,0.6231,0.0151
812,114.6773,0.7119,0.0281
813,104.2610,0.6909,0.0245
814,108.5058,0.5875,0.0177
815,115.4584,0.6029,0.0356
816,112.4629,0.7018,0.0252
817,109.7532,0.7160,0.0142
818,115.6789,0.7225,0.0180
